"","day","temp","dewp","wdsp","nrm"
"474",2,68.2,38.1,4.8,0.590078328981723
"475",3,55.9,40,8.7,0.498694516971279
"476",4,61.5,40.7,9.2,0.462140992167102
"477",5,62.8,52.1,6.4,0.527415143603133
"478",6,52.2,43.1,10.5,0.566579634464752
"479",7,49.4,37.7,7.2,0.472584856396867
"480",1,59.6,42.6,7,0.634464751958224
"481",2,72.6,51.2,12,0.642297650130548
"482",3,54.5,44.6,11.8,0.472584856396867
"483",4,46.4,39,14.1,0.389033942558747
"484",5,47.7,41.4,9.8,0.571801566579634
"485",6,46.7,39.7,7.9,0.540469973890339
"486",7,46.6,40.1,11.6,0.242819843342037
"487",1,46.9,43.7,10.6,0.801566579634465
"488",2,49.8,38.8,12.7,0.639686684073107
"489",3,55,35,5.4,0.584856396866841
"490",4,52.2,39,11.9,0.443864229765013
"491",5,49.5,35.9,12.6,0.483028720626632
"492",6,61.6,40.6,5.4,0.736292428198433
"493",7,65.1,40.7,12.2,0.60313315926893
"494",1,57.2,30.7,4,0.566579634464752
"495",2,57.2,44.3,9.2,0.571801566579634
"496",3,57.4,54.1,9.7,0.524804177545692
"497",4,60.4,56.8,5.4,0.642297650130548
"498",5,63.4,55.8,8.4,0.464751958224543
"499",6,59.3,43.5,9.8,0.772845953002611
"500",7,47.7,35.4,12.5,0.550913838120104
"501",1,47.3,26.9,8.7,0.592689295039164
"502",2,57.1,33.8,10.2,0.704960835509138
"503",3,55.4,41.3,8.4,0.469973890339426
"504",4,54.2,36.6,6.4,0.751958224543081
"505",5,57.5,32,4.2,0.657963446475196
"506",6,60.8,37.5,6.1,0.762402088772846
"507",7,64.5,34.8,8.4,0.731070496083551
"508",1,67.2,40.7,5.4,0.621409921671018
"509",2,68.5,39.9,5.7,0.704960835509138
"510",3,75.7,45.2,8.7,0.759791122715405
"511",4,77.9,58.8,9.4,0.543080939947781
"512",5,73.2,63.2,8.6,0.663185378590078
"513",6,76.1,64,8.7,0.751958224543081
"514",7,75.1,64.2,12.8,0.72845953002611
"515",1,74.9,59,10.7,0.746736292428198
"516",2,75.9,57.2,6.1,0.804177545691906
"517",3,73.4,56.9,7.9,0.637075718015666
"519",5,72.6,53.2,6.5,0.751958224543081
"520",6,72.7,52.1,5.3,0.809399477806789
"521",7,72.1,57,7.2,0.822454308093995
"522",1,70.5,57.4,9.9,0.691906005221932
"523",2,73,53.1,10.2,0.731070496083551
"524",3,64,48,9.6,0.631853785900783
"525",4,61.5,48,6.9,0.605744125326371
"526",5,63.9,50.8,6.4,0.556135770234987
"527",6,77.2,62.2,8.5,0.660574412532637
"528",7,85.2,62.4,9.4,0.793733681462141
"529",1,72.8,49.3,10.9,0.882506527415144
"530",2,71.1,48.3,5.7,0.736292428198433
"531",3,77.2,58.5,7.3,0.843342036553525
"532",4,80.6,67.6,9.6,0.725848563968668
"533",5,75.2,62,10,0.806788511749347
"534",6,72.5,54.2,9.1,0.827676240208877
"535",7,76.3,50.8,5.5,0.655352480417755
"536",1,80.4,56.4,6.7,0.780678851174935
"537",2,84.6,66.8,11.5,0.903394255874674
"538",3,77.1,51.2,7.4,0.814621409921671
"539",4,73.3,59.2,6.5,0.618798955613577
"540",5,72.3,65.8,7.6,0.754569190600522
"541",6,73.3,57.9,7.3,0.77023498694517
"542",7,79.5,61.5,7.2,0.785900783289817
"543",1,82.8,67.8,8.7,0.684073107049608
"544",2,81.9,59.9,8.8,0.678851174934726
"545",3,69.3,52.9,10.4,0.66579634464752
"546",4,67.9,48.9,6.8,0.762402088772846
"547",5,72.3,48.1,7.2,0.87467362924282
"549",7,67.9,45.9,4.7,0.637075718015666
"550",1,70.4,52,6,0.704960835509138
"551",2,71.9,59.8,6.1,0.87467362924282
"552",3,77.2,64.5,6.3,1
"553",4,79.1,66.8,7.6,0.600522193211488
"554",5,78.4,68.5,6.1,0.725848563968668
"555",6,78.6,66.6,7.5,0.725848563968668
"556",7,74.5,58,9.9,0.566579634464752
"557",1,74.2,56.6,4.7,0.647519582245431
"558",2,81.3,64.9,9.2,0.493472584856397
"559",3,82.9,69,12.1,0.699738903394256
"560",4,79.1,68.3,7.9,0.558746736292428
"561",5,76.5,64.8,12,0.671018276762402
"562",6,72.6,58.3,8.5,0.872062663185379
"563",7,69.3,55.7,6.4,0.699738903394256
"564",1,73.9,59.3,10.2,0.723237597911227
"565",2,78.8,67.5,5.7,0.74934725848564
"566",3,79.6,63.8,4,0.72845953002611
"567",4,80.7,66.8,5.8,0.814621409921671
"568",5,82.5,72.8,7.8,0.710182767624021
"569",6,81.1,70.9,7.7,0.72845953002611
"570",7,86,74.3,4.5,0.785900783289817
"571",1,80.4,72.5,10.8,0.725848563968668
"572",2,79.6,65.3,8.3,0.822454308093995
"573",3,80.9,62.9,4.4,0.953002610966057
"574",4,81.5,63.3,3.9,0.738903394255875
"575",5,78.8,66.9,4.4,0.684073107049608
"576",6,75.3,69.1,5.9,0.754569190600522
"578",1,74.4,64.2,7.1,0.785900783289817
"579",2,76.5,65.5,6.1,0.960835509138381
"580",3,79.2,65.4,5.4,0.72845953002611
"581",4,81.8,65.7,4.2,0.678851174934726
"582",5,83.5,65.3,5.6,0.733681462140992
"583",6,80.1,67.7,6.7,0.913838120104439
